Year,Value
1850,2.584522533
1851,2.584522533
1852,2.583800481
1853,2.576843957
1854,2.596409365
1855,2.690220439
1856,2.74164846
1857,2.734691937
1858,2.713104102
1859,2.680921441
1860,2.611378189
1861,2.528702101
1862,2.514235261
1863,2.507278741
1864,2.500322218
1865,2.493365695
1866,2.486409172
1867,2.489008789
1868,2.507264693
1869,2.606740961
1870,2.775984291
1871,2.945227558
1872,3.114470796
1873,3.155415122
1874,3.1741062
1875,3.242745889
1876,3.302994663
1877,3.321250567
1878,3.331301262
1879,3.32434474
1880,3.317388217
1881,3.310431694
1882,3.384602687
1883,3.503571489
1884,3.582218921
1885,3.65085861
1886,3.719498299
1887,3.782245102
1888,3.800501016
1889,3.817508836
1890,3.831240441
1891,4.157971859
1892,4.436164165
1893,4.202691403
1894,4.076979565
1895,4.051678124
1896,4.068788003
1897,4.106044122
1898,4.221958262
1899,4.333000313
1900,4.415625826
1901,4.471019745
1902,4.464063226
1903,4.448408156
1904,4.422680002
1905,4.408916491
1906,4.40785023
1907,4.376711985
1908,4.331672991
1909,4.322530538
1910,4.336108924
1911,4.530469077
1912,4.647014482
1913,4.539071084
1914,4.473421998
1915,4.466465475
1916,4.47408713
1917,4.492343034
1918,4.454815091
1919,4.397392578
1920,4.34766502
1921,4.337365237
1922,4.535129924
1923,4.689324409
1924,4.682367886
1925,4.684796214
1926,4.703052128
1927,4.748068628
1928,4.816708317
1929,4.902692047
1930,4.996503121
1931,4.989131291
1932,4.963403137
1933,5.161737402
1934,5.355498944
1935,5.348542421
1936,5.335566756
1937,5.309838601
1938,5.37247858
1939,5.604827389
1940,5.685107952
1941,5.678151433
1942,5.671194911
1943,5.664238388
1944,5.633209469
1945,5.589491068
1946,5.456266613
1947,5.339753888
1948,5.267063387
1949,5.25692924
1950,5.393574932
1951,5.509782022
1952,5.619076395
1953,5.735634155
1954,5.854602957
1955,6.007493159
1956,6.149774566
1957,6.236562476
1958,6.280219154
1959,6.172275755
1960,5.986744566
1961,5.676166529
1962,5.448962466
1963,5.290443196
1964,5.029705662
1965,4.731618168
1966,4.74342569
1967,4.75458559
1968,4.747629067
1969,4.711281799
1970,4.55276253
1971,4.376202277
1972,4.167051885
1973,4.018585524
1974,3.97493192
1975,3.904737885
1976,3.822061753
1977,3.696872661
1978,3.564019434
1979,3.55706291
1980,3.562378979
1981,3.631018668
1982,3.715776105
1983,3.834744906
1984,3.88636181
1985,3.864176052
1986,4.003751308
1987,4.201515995
1988,4.376692949
1989,4.545936188
1990,4.572064882
1991,4.587629066
1992,4.580672547
1993,4.573716027
1994,4.566759504
1995,4.666837568
1996,4.911390408
1997,5.126832925
1998,4.793093106
1999,3.780382261
2000,3.758570289
2001,3.992326631
2002,4.251163629
2003,4.24420711
2004,4.177563485
2005,3.837852836
2006,3.645941863
2007,3.608199066
2008,3.969278982
2009,4.655486375
2010,4.139240533
2011,4.472985178
2012,4.824453788
2013,5.174736526
2014,4.948410652
2015,4.721872322
2016,4.492786418
2017,4.198926581
2018,3.834005828
2019,3.528477517
2020,3.280975134
2021,3.299686566
2022,3.38179175
2023,3.494387811
2024,3.613356548
2025,3.608411052
2026,3.595566144
2027,3.5475567
2028,3.514095008
2029,3.537018374
2030,3.537916237
2031,3.509576848
2032,3.50384276
2033,3.504645368
2034,3.361150146
2035,3.177322192
2036,3.136716242
2037,3.088708192
2038,2.904880339
2039,2.727816485
2040,2.569297128
2041,2.454215749
2042,2.396793237
2043,2.227210106
2044,1.979707723
2045,1.837803738
2046,1.708695695
2047,1.645243067
2048,1.576245998
2049,1.367095667
2050,1.148752768
2051,0.901250531
2052,0.717863368
2053,0.588755325
2054,0.351608709
2055,0.031450686
2056,-0.114125124
2057,-0.223782086
2058,-0.467445576
2059,-0.712940214
2060,-0.719896737
2061,-0.72685326
2062,-0.733809783
2063,-0.81669453
2064,-1.02584486
2065,-1.126027487
2066,-1.132984006
2067,-1.139940528
2068,-1.146897051
2069,-1.153853574
2070,-1.160810097
2071,-1.167766616
2072,-1.174723136
2073,-1.181679659
2074,-1.188636182
2075,-1.195592705
2076,-1.202549226
2077,-1.209505746
2078,-1.216462267
2079,-1.22341879
2080,-1.230375313
2081,-1.237331837
2082,-1.244288356
2083,-1.251244875
2084,-1.258201398
2085,-1.265157921
2086,-1.272114444
2087,-1.370416266
2088,-1.579566597
2089,-1.664332148
2090,-1.671288667
2091,-1.785128011
2092,-1.930072811
2093,-2.00743631
2094,-2.070462895
2095,-2.077419418
2096,-2.136297693
2097,-2.345448024
2098,-2.459042938
2099,-2.440787034
2100,-2.460508977
