Year,Value,,,,,,,,,,,,,,,,,,2015,81230.537
1850,14637400000000.00 ,,,,,,,,,,,,,,,,,,2020,101621.512
1851,14637400000000.00 ,,,,,,,,,,,,,,,,,,2025,129430.445
1852,14637400000000.00 ,,,,,,,,,,,,,,,,,,2030,166041.741
1853,14637400000000.00 ,,,,,,,,,,,,,,,,,,2035,210194.993
1854,14637400000000.00 ,,,,,,,,,,,,,,,,,,2040,258131.106
1855,14637400000000.00 ,,,,,,,,,,,,,,,,,,2045,308841.282
1856,14637400000000.00 ,,,,,,,,,,,,,,,,,,2050,360926.061
1857,14637400000000.00 ,,,,,,,,,,,,,,,,,,2055,415072.695
1858,14637400000000.00 ,,,,,,,,,,,,,,,,,,2060,472864.562
1859,14637400000000.00 ,,,,,,,,,,,,,,,,,,2065,534046.608
1860,14637400000000.00 ,,,,,,,,,,,,,,,,,,2070,597415.572
1861,14637400000000.00 ,,,,,,,,,,,,,,,,,,2075,662174.78
1862,14637400000000.00 ,,,,,,,,,,,,,,,,,,2080,729516.967
1863,14637400000000.00 ,,,,,,,,,,,,,,,,,,2085,798690.434
1864,14637400000000.00 ,,,,,,,,,,,,,,,,,,2090,869603.832
1865,14637400000000.00 ,,,,,,,,,,,,,,,,,,2095,942006.087
1866,14637400000000.00 ,,,,,,,,,,,,,,,,,,2100,1014793.298
1867,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1868,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1869,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1870,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1871,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1872,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1873,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1874,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1875,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1876,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1877,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1878,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1879,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1880,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1881,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1882,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1883,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1884,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1885,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1886,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1887,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1888,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1889,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1890,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1891,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1892,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1893,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1894,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1895,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1896,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1897,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1898,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1899,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1900,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1901,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1902,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1903,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1904,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1905,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1906,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1907,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1908,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1909,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1910,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1911,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1912,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1913,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1914,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1915,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1916,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1917,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1918,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1919,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1920,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1921,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1922,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1923,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1924,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1925,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1926,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1927,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1928,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1929,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1930,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1931,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1932,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1933,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1934,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1935,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1936,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1937,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1938,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
1939,14637400000000.00 ,,,,,,,,,,,,,,,,,,,
