Year,Value
1850,74.91189427
1851,74.91189427
1852,74.91189427
1853,74.91189427
1854,74.91189427
1855,74.91189427
1856,74.91189427
1857,74.91189427
1858,74.91189427
1859,74.91189427
1860,74.91189427
1861,74.91189427
1862,74.91189427
1863,74.91189427
1864,74.91189427
1865,74.91189427
1866,74.91189427
1867,74.91189427
1868,74.91189427
1869,74.91189427
1870,74.91189427
1871,74.91189427
1872,74.91189427
1873,74.91189427
1874,74.91189427
1875,74.91189427
1876,74.91189427
1877,74.91189427
1878,74.91189427
1879,74.91189427
1880,74.91189427
1881,74.91189427
1882,74.91189427
1883,74.91189427
1884,74.91189427
1885,74.91189427
1886,74.91189427
1887,74.91189427
1888,74.91189427
1889,74.91189427
1890,74.91189427
1891,74.91189427
1892,74.91189427
1893,74.91189427
1894,74.91189427
1895,74.91189427
1896,74.91189427
1897,74.91189427
1898,74.91189427
1899,74.91189427
1900,74.91189427
1901,74.90396474
1902,74.83729808
1903,75.11507614
1904,77.57063152
1905,80.0261869
1906,82.48174227
1907,85.13155048
1908,88.71775805
1909,91.94396513
1910,94.30396475
1911,94.23729807
1912,93.13729753
1913,91.17896493
1914,89.87063144
1915,89.80396477
1916,89.73729811
1917,89.67063144
1918,89.60396477
1919,89.5372981
1920,89.47063143
1921,89.40396477
1922,94.13729887
1923,96.45158316
1924,94.22301199
1925,91.01229847
1926,89.07063143
1927,89.00396475
1928,101.4372981
1929,101.3706314
1930,101.3039647
1931,84.61508305
1932,81.4839659
1933,84.9706311
1934,90.50396482
1935,93.54205947
1936,95.63729732
1937,98.15729683
1938,101.1172968
1939,104.0772968
1940,107.0372967
1941,108.9039648
1942,108.8372981
1943,106.8944399
1944,102.5039642
1945,103.1789653
1946,108.7872991
1947,114.5106328
1948,120.4972995
1949,126.483966
1950,129.9706317
1951,131.4172984
1952,132.863965
1953,137.6289661
1954,143.2372998
1955,150.8706345
1956,159.5539666
1957,166.4230122
1958,168.51825
1959,171.3506295
1960,177.3372961
1961,184.5539655
1962,190.2595202
1963,195.3872955
1964,202.8872995
1965,207.9706328
1966,216.0372931
1967,226.2595198
1968,240.9595193
1969,247.8972976
1970,259.9372975
1971,271.3431984
1972,272.7944403
1973,277.0515849
1974,284.1372979
1975,291.0817412
1976,296.0595201
1977,300.5070995
1978,305.7042003
1979,310.9013011
1980,318.9588429
1981,327.7885034
1982,337.9045488
1983,335.7683261
1984,339.5854299
1985,341.7228759
1986,345.4928495
1987,355.5150741
1988,364.0787232
1989,369.0965431
1990,373.4195053
1991,374.5880955
1992,379.2181383
1993,385.0900743
1994,395.0549712
1995,401.9345713
1996,407.8703086
1997,414.5396718
1998,420.3207805
1999,425.5178835
2000,431.5392615
2001,439.0392586
2002,430.1087274
2003,438.6896788
2004,450.5693682
2005,460.6533668
2006,470.1719902
2007,480.986552
2008,489.1372995
2009,500.7700079
2010,511.3456308
2011,524.8539349
2012,539.4216482
2013,548.320635
2014,560.0706305
2015,575.0706262
2016,587.1106261
2017,604.3595142
2018,615.9548541
2019,623.7631956
2020,636.2669136
2021,658.6206418
2022,676.6794185
2023,697.996114
2024,711.7039648
2025,725.1695775
2026,741.2974889
2027,756.0671048
2028,778.6075477
2029,802.7373025
2030,828.470629
2031,824.9389537
2032,845.8908091
2033,873.0900424
2034,887.9913017
2035,910.1372996
2036,925.5677096
2037,951.6172967
2038,963.6572965
2039,978.8191601
2040,1005.528001
2041,1030.266528
2042,1050.582713
2043,1085.887299
2044,1104.970631
2045,1120.415079
2046,1155.053152
2047,1175.164267
2048,1195.275375
2049,1215.386478
2050,1235.49759
2051,1255.608705
2052,1276.546862
2053,1297.498716
2054,1318.450559
2055,1338.447751
2056,1356.877383
2057,1375.694358
2058,1394.965568
2059,1417.003965
2060,1438.053965
2061,1453.303967
2062,1462.437298
2063,1477.503969
2064,1495.415071
2065,1514.59563
2066,1527.82619
2067,1541.937298
2068,1559.687304
2069,1573.170634
2070,1583.192852
2071,1598.702888
2072,1612.780386
2073,1621.496668
2074,1640.418249
2075,1651.161111
2076,1664.051635
2077,1671.943962
2078,1677.503872
2079,1687.352216
2080,1696.333803
2081,1711.637296
2082,1717.856695
2083,1732.887301
2084,1740.387299
2085,1739.873678
2086,1753.592798
2087,1757.503965
2088,1766.615076
2089,1769.070631
2090,1774.575874
2091,1780.719038
2092,1786.741479
2093,1796.867666
2094,1799.569328
2095,1803.739134
2096,1808.655727
2097,1811.422541
2098,1816.071491
2099,1819.185868
2100,1819.138391
